user_id,skill_id,skill_category,skill_subcategory,skill_description
1,3,Data Science,Data Visualization,Tableau
1,16,Music,General,Sheet Music
1,23,Activities,Sports,Running
2,3,Data Science,Data Visualization,Tableau
2,23,Activities,Sports,Running
2,25,Activities,Sports,Climbing
3,1,Data Science,Statistics,Unsupervised Learning techniques
3,12,Music,Instrument,Piano
3,16,Music,General,Sheet Music
3,21,Languages,Languages,German
4,21,Languages,Languages,German
5,5,Data Science,Data Visualization,R
5,16,Music,General,Sheet Music
5,18,Languages,Languages,French
5,21,Languages,Languages,German
6,7,Data Science,Programming,SAS
6,8,Data Science,Programming,R
6,16,Music,General,Sheet Music
6,25,Activities,Sports,Climbing
7,9,Data Science,Programming,Python
7,21,Languages,Languages,German
8,13,Music,Instrument,Violin
8,20,Languages,Languages,Russian
10,6,Data Science,Data Visualization,Excel
10,13,Music,Instrument,Violin
10,21,Languages,Languages,German
10,26,Activities,Sports,Basketball
11,15,Music,Instrument,Saxophone
11,17,Languages,Languages,English
11,21,Languages,Languages,German
12,3,Data Science,Data Visualization,Tableau
13,6,Data Science,Data Visualization,Excel
13,10,Data Science,Programming,SQL
13,13,Music,Instrument,Violin
13,20,Languages,Languages,Russian
13,22,Activities,Sports,Tennis
14,5,Data Science,Data Visualization,R
14,13,Music,Instrument,Violin
14,18,Languages,Languages,French
14,19,Languages,Languages,Spanish
14,26,Activities,Sports,Basketball
15,2,Data Science,Statistics,Supervised Learning techniques
15,17,Languages,Languages,English
16,3,Data Science,Data Visualization,Tableau
16,19,Languages,Languages,Spanish
17,1,Data Science,Statistics,Unsupervised Learning techniques
17,3,Data Science,Data Visualization,Tableau
17,7,Data Science,Programming,SAS
18,16,Music,General,Sheet Music
19,17,Languages,Languages,English
19,21,Languages,Languages,German
20,7,Data Science,Programming,SAS
20,21,Languages,Languages,German
20,23,Activities,Sports,Running
21,1,Data Science,Statistics,Unsupervised Learning techniques
21,11,Music,Instrument,Guitar
22,2,Data Science,Statistics,Supervised Learning techniques
22,4,Data Science,Data Visualization,SAS
23,12,Music,Instrument,Piano
23,13,Music,Instrument,Violin
24,6,Data Science,Data Visualization,Excel
24,14,Music,Instrument,Flute
24,19,Languages,Languages,Spanish
24,22,Activities,Sports,Tennis
25,11,Music,Instrument,Guitar
25,12,Music,Instrument,Piano
25,14,Music,Instrument,Flute
25,19,Languages,Languages,Spanish
25,23,Activities,Sports,Running
26,25,Activities,Sports,Climbing
27,1,Data Science,Statistics,Unsupervised Learning techniques
27,2,Data Science,Statistics,Supervised Learning techniques
27,10,Data Science,Programming,SQL
27,11,Music,Instrument,Guitar
28,7,Data Science,Programming,SAS
28,9,Data Science,Programming,Python
29,11,Music,Instrument,Guitar
30,4,Data Science,Data Visualization,SAS
31,8,Data Science,Programming,R
31,11,Music,Instrument,Guitar
31,14,Music,Instrument,Flute
31,15,Music,Instrument,Saxophone
32,5,Data Science,Data Visualization,R
32,7,Data Science,Programming,SAS
32,11,Music,Instrument,Guitar
32,19,Languages,Languages,Spanish
32,22,Activities,Sports,Tennis
33,12,Music,Instrument,Piano
33,13,Music,Instrument,Violin
33,16,Music,General,Sheet Music
33,18,Languages,Languages,French
34,1,Data Science,Statistics,Unsupervised Learning techniques
34,15,Music,Instrument,Saxophone
34,17,Languages,Languages,English
35,8,Data Science,Programming,R
35,10,Data Science,Programming,SQL
35,17,Languages,Languages,English
35,21,Languages,Languages,German
36,4,Data Science,Data Visualization,SAS
36,6,Data Science,Data Visualization,Excel
36,10,Data Science,Programming,SQL
36,13,Music,Instrument,Violin
36,24,Activities,Sports,Biking
37,5,Data Science,Data Visualization,R
37,14,Music,Instrument,Flute
38,12,Music,Instrument,Piano
39,4,Data Science,Data Visualization,SAS
39,8,Data Science,Programming,R
39,14,Music,Instrument,Flute
39,17,Languages,Languages,English
40,4,Data Science,Data Visualization,SAS
40,9,Data Science,Programming,Python
40,17,Languages,Languages,English
41,15,Music,Instrument,Saxophone
41,17,Languages,Languages,English
41,23,Activities,Sports,Running
42,15,Music,Instrument,Saxophone
42,20,Languages,Languages,Russian
42,24,Activities,Sports,Biking
43,6,Data Science,Data Visualization,Excel
43,7,Data Science,Programming,SAS
43,10,Data Science,Programming,SQL
44,3,Data Science,Data Visualization,Tableau
44,5,Data Science,Data Visualization,R
44,7,Data Science,Programming,SAS
44,10,Data Science,Programming,SQL
44,19,Languages,Languages,Spanish
44,23,Activities,Sports,Running
44,25,Activities,Sports,Climbing
45,25,Activities,Sports,Climbing
46,1,Data Science,Statistics,Unsupervised Learning techniques
46,4,Data Science,Data Visualization,SAS
46,7,Data Science,Programming,SAS
46,16,Music,General,Sheet Music
46,17,Languages,Languages,English
47,12,Music,Instrument,Piano
47,20,Languages,Languages,Russian
47,22,Activities,Sports,Tennis
48,3,Data Science,Data Visualization,Tableau
48,6,Data Science,Data Visualization,Excel
48,12,Music,Instrument,Piano
48,23,Activities,Sports,Running
49,2,Data Science,Statistics,Supervised Learning techniques
49,20,Languages,Languages,Russian
49,26,Activities,Sports,Basketball
50,9,Data Science,Programming,Python
