user_id,skill_id,skill_category,skill_subcategory,skill_description
1,9,Data Science,Programming,Python
1,17,Languages,Languages,English
2,14,Music,Instrument,Flute
2,15,Music,Instrument,Saxophone
3,6,Data Science,Data Visualization,Excel
3,7,Data Science,Programming,SAS
3,9,Data Science,Programming,Python
3,15,Music,Instrument,Saxophone
3,20,Languages,Languages,Russian
4,20,Languages,Languages,Russian
4,21,Languages,Languages,German
4,26,Activities,Sports,Basketball
5,12,Music,Instrument,Piano
5,14,Music,Instrument,Flute
5,20,Languages,Languages,Russian
6,1,Data Science,Statistics,Unsupervised Learning techniques
6,10,Data Science,Programming,SQL
6,11,Music,Instrument,Guitar
6,21,Languages,Languages,German
6,24,Activities,Sports,Biking
7,7,Data Science,Programming,SAS
7,8,Data Science,Programming,R
7,10,Data Science,Programming,SQL
7,12,Music,Instrument,Piano
7,14,Music,Instrument,Flute
7,24,Activities,Sports,Biking
9,3,Data Science,Data Visualization,Tableau
9,5,Data Science,Data Visualization,R
9,7,Data Science,Programming,SAS
9,14,Music,Instrument,Flute
9,17,Languages,Languages,English
9,19,Languages,Languages,Spanish
10,13,Music,Instrument,Violin
10,15,Music,Instrument,Saxophone
10,18,Languages,Languages,French
10,25,Activities,Sports,Climbing
11,16,Music,General,Sheet Music
12,1,Data Science,Statistics,Unsupervised Learning techniques
12,2,Data Science,Statistics,Supervised Learning techniques
14,2,Data Science,Statistics,Supervised Learning techniques
14,10,Data Science,Programming,SQL
15,2,Data Science,Statistics,Supervised Learning techniques
15,11,Music,Instrument,Guitar
15,14,Music,Instrument,Flute
15,24,Activities,Sports,Biking
16,1,Data Science,Statistics,Unsupervised Learning techniques
16,17,Languages,Languages,English
16,23,Activities,Sports,Running
16,26,Activities,Sports,Basketball
17,15,Music,Instrument,Saxophone
17,21,Languages,Languages,German
18,17,Languages,Languages,English
18,20,Languages,Languages,Russian
19,8,Data Science,Programming,R
20,2,Data Science,Statistics,Supervised Learning techniques
20,20,Languages,Languages,Russian
20,22,Activities,Sports,Tennis
21,13,Music,Instrument,Violin
21,14,Music,Instrument,Flute
21,23,Activities,Sports,Running
22,7,Data Science,Programming,SAS
22,13,Music,Instrument,Violin
22,15,Music,Instrument,Saxophone
22,17,Languages,Languages,English
22,22,Activities,Sports,Tennis
23,5,Data Science,Data Visualization,R
23,10,Data Science,Programming,SQL
23,23,Activities,Sports,Running
24,22,Activities,Sports,Tennis
24,24,Activities,Sports,Biking
25,1,Data Science,Statistics,Unsupervised Learning techniques
25,19,Languages,Languages,Spanish
26,4,Data Science,Data Visualization,SAS
26,11,Music,Instrument,Guitar
27,3,Data Science,Data Visualization,Tableau
27,19,Languages,Languages,Spanish
28,12,Music,Instrument,Piano
29,5,Data Science,Data Visualization,R
29,6,Data Science,Data Visualization,Excel
29,10,Data Science,Programming,SQL
29,11,Music,Instrument,Guitar
29,12,Music,Instrument,Piano
29,19,Languages,Languages,Spanish
30,2,Data Science,Statistics,Supervised Learning techniques
30,20,Languages,Languages,Russian
30,21,Languages,Languages,German
30,25,Activities,Sports,Climbing
31,4,Data Science,Data Visualization,SAS
31,8,Data Science,Programming,R
31,9,Data Science,Programming,Python
32,9,Data Science,Programming,Python
32,15,Music,Instrument,Saxophone
33,6,Data Science,Data Visualization,Excel
33,7,Data Science,Programming,SAS
33,9,Data Science,Programming,Python
33,15,Music,Instrument,Saxophone
33,21,Languages,Languages,German
33,24,Activities,Sports,Biking
34,4,Data Science,Data Visualization,SAS
34,16,Music,General,Sheet Music
34,24,Activities,Sports,Biking
35,6,Data Science,Data Visualization,Excel
35,14,Music,Instrument,Flute
35,15,Music,Instrument,Saxophone
36,6,Data Science,Data Visualization,Excel
36,22,Activities,Sports,Tennis
38,6,Data Science,Data Visualization,Excel
38,9,Data Science,Programming,Python
38,15,Music,Instrument,Saxophone
38,16,Music,General,Sheet Music
38,25,Activities,Sports,Climbing
39,7,Data Science,Programming,SAS
39,8,Data Science,Programming,R
39,22,Activities,Sports,Tennis
39,23,Activities,Sports,Running
39,24,Activities,Sports,Biking
39,25,Activities,Sports,Climbing
39,26,Activities,Sports,Basketball
40,9,Data Science,Programming,Python
40,10,Data Science,Programming,SQL
41,13,Music,Instrument,Violin
41,25,Activities,Sports,Climbing
42,2,Data Science,Statistics,Supervised Learning techniques
42,8,Data Science,Programming,R
42,9,Data Science,Programming,Python
43,7,Data Science,Programming,SAS
44,22,Activities,Sports,Tennis
45,10,Data Science,Programming,SQL
46,10,Data Science,Programming,SQL
46,12,Music,Instrument,Piano
47,8,Data Science,Programming,R
47,12,Music,Instrument,Piano
48,7,Data Science,Programming,SAS
48,8,Data Science,Programming,R
48,11,Music,Instrument,Guitar
49,4,Data Science,Data Visualization,SAS
49,14,Music,Instrument,Flute
49,22,Activities,Sports,Tennis
49,23,Activities,Sports,Running
50,1,Data Science,Statistics,Unsupervised Learning techniques
50,7,Data Science,Programming,SAS
50,20,Languages,Languages,Russian
50,22,Activities,Sports,Tennis
50,23,Activities,Sports,Running
51,1,Data Science,Statistics,Unsupervised Learning techniques
51,2,Data Science,Statistics,Supervised Learning techniques
